agency,department,name,title,room_number,street_address,city,state,zip_code,telephone,fax,email_address,website,online_request_form,notes
Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,FOIA Requester Service Center,,9th Floor,"1120 20th Street, NW",Washington,DC ,20036-3457,(202) 606-5724,(202) 606-5417,oshrc_foia@oshrc.gov,http://www.oshrc.gov/foia/index.html,http://www.oshrc.gov/foia/index.html,
Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,FOIA Requester Service Center,,9th Floor,"1120 20th Street, NW",Washington,DC ,20036-3457,(202) 606-5724,(202) 606-5417,oshrc_foia@oshrc.gov,http://www.oshrc.gov/foia/index.html,,
Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,Noelle Chadwick,FOIA Public Liaison,9th Floor,"1120 20th Street, NW",Washington,DC ,20036-3457,(202) 606-5724,(202) 606-5417,oshrc_foia@oshrc.gov,http://www.oshrc.gov/foia/index.html,,
Office of the Director of National Intelligence,Office of the Director of National Intelligence,Jennifer Hudson,"Director, Information Management Office",,,Washington ,DC ,20511,(703) 874-8500,(703) 874-8910,mailto:dni-foia@dni.gov,http://www.dni.gov/foia.htm,,
Office of the Director of National Intelligence,Office of the Director of National Intelligence,,FOIA Requester Service Center,,,,,,(703) 874-8500,,,,,
Office of the Director of National Intelligence,Office of the Director of National Intelligence,Jennifer Hudson,FOIA Public Liaison,,,,,,(703) 874-8500,,,,,
Office of Government Ethics,Office of Government Ethics,Rachel K. Dowell,OGE FOIA Officer,Suite 500,"1201 New York Avenue, NW",Washington,DC ,20005-3917,(202) 482-9267,(202) 482-9237,mailto:usoge@oge.gov,http://www.oge.gov/FOIA-and-Privacy-Act/Freedom-of-Information-Act/The-Freedom-of-Information-Act/,,
Office of Government Ethics,Office of Government Ethics,,FOIA Requester Service Center,,,,,,(202) 482-9267,,,,,
Office of Government Ethics,Office of Government Ethics,,FOIA Public Liaison,,,,,,(202) 482-9267,,,,,
Office of Navajo and Hopi Indian Relocation,Office of Navajo and Hopi Indian Relocation,Scott Kuhr,Freedom of Information/Privacy Act Officer,P.O. Box KK,201 E. Birch Avenue,Flagstaff,AZ,86002,"(928) 779-2727, ext. 145",(978) 774-1977,,http://onhir.gov/,,
Office of Navajo and Hopi Indian Relocation,Office of Navajo and Hopi Indian Relocation,,FOIA Requester Service Center,,,,,,"(928) 779-2727, ext. 145",,,,,
Office of Navajo and Hopi Indian Relocation,Office of Navajo and Hopi Indian Relocation,Lawrence A. Ruzzow,FOIA Public Liaison,,,,,,(928) 779-2721,,mailto:eligilility@onhir.gov,,,
Office of Personnel Management,Office of Personnel Management,Trina Porter,FOIA Requester Service Center,Room 4458,"1900 E Street, NW",Washington,DC,20415-7900,(202) 606-4417,,mailto:foia@opm.gov,http://www.opm.gov/information-management/freedom-of-information-act,,
Office of Personnel Management,Office of Personnel Management,,FOIA Requester Service Center,,,,,,(202) 606-3642,,,,,
Office of Personnel Management,Office of Personnel Management,Trina Porter,FOIA Public Liaison,,,,,,(202) 606-4417,,,,,
Office of Special Counsel,Office of Special Counsel,Christopher Kurt,FOIA Officer,Suite 218,"1730 M Street, NW",Washington,DC,20036-4505,(202) 254-3716,(202) 254-3711,ckurt@osc.gov,https://osc.gov/Pages/FOIA-Resources.aspx,https://osc.gov/Pages/FOIA-Resources.aspx,
Office of Special Counsel,Office of Special Counsel,Christopher Kurt,FOIA Requester Service Center,Suite 218,"1730 M Street, NW",Washington,DC,20036-4505,(202) 254-3716,(202) 254-3711,ckurt@osc.gov,https://osc.gov/Pages/FOIA-Resources.aspx,https://osc.gov/Pages/FOIA-Resources.aspx,
Office of Special Counsel,Office of Special Counsel,Dawn Kral,FOIA Public Liaison,Suite 218,"1730 M Street, NW",Washington,DC,20036-4505,(202) 254-3636,(202) 254-3711,dkral@osc.gov,https://osc.gov/Pages/FOIA-Resources.aspx,https://osc.gov/Pages/FOIA-Resources.aspx,
Overseas Private Investment Corporation,Overseas Private Investment Corporation,Nichole Skoyles,FOIA Director,,"1100 New York Avenue, NW",Washington,DC,20527,(202) 336-8400,,mailto:FOIA@opic.gov,http://www.opic.gov/publications/foia,,
Overseas Private Investment Corporation,Overseas Private Investment Corporation,,FOIA Requester Service Center,,,,,,(202) 336-8400,,,,,
Overseas Private Investment Corporation,Overseas Private Investment Corporation,Nichole Skoyles,FOIA Public Liaison,,,,,,(202) 336-8400,,,,,
Main Office,Peace Corps,Denora Miller,"FOIA/Privacy Act Officer, Office of Management",,"1111 20th Street, NW",Washington,DC,20526-0001,(202) 692-1236,(202) 692-1385,mailto:foia@peacecorps.gov,http://www.peacecorps.gov/index.cfm?shell=about.policies.foia,https://cwppc.secureprtportal.com/,
Main Office,Peace Corps,,FOIA Requester Service Center,,,,,,(202) 692-1236,,,,,
Main Office,Peace Corps,Denora Miller,FOIA Public Liaison,,,,,,(202) 692-1236,,,,,
Office of the Inspector General,Peace Corps,Jeffrey Reichert,FOIA Contact,,"1111 20th Street, NW",Washington,DC,20526-0001,(202) 692-2922,,mailto:foia@peacecorps.gov,http://www.peacecorps.gov/index.cfm?shell=about.policies.foia,,
Office of the Inspector General,Peace Corps,,FOIA Requester Service Center,,,,,,(202) 692-2922,,,,,
Office of the Inspector General,Peace Corps,Jeffrey Reichert,FOIA Public Liaison,,,,,,(202) 692-2922,,,,,
Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,D. Camilla Perry,Disclosure Officer,Suite 11101,"1200 K Street, NW",Washington,DC,20005,(202) 326-4040,(202) 326-4042,,http://www.pbgc.gov/about/foia.html,,
Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,,FOIA Requester Service Center,,,,,,(202) 326-4040,,,,,
Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,Michelle Y. Chase,FOIA Public Liaison,,,,,,(202) 326-4040,,mailto:Chase.Michelle@pbgc.gov,,,
Postal Regulatory Commission,Postal Regulatory Commission,Ruth Ann Abrams,Assistant Secretary,Suite 200 West,"901 New York Avenue, NW",Washington,DC,20268,(202) 789-6843,(202) 789-6891,ruth.a.abrams@prc.gov,http://www.prc.gov/foia,http://www.prc.gov/foia/onlinerequest,
Postal Regulatory Commission,Postal Regulatory Commission,,FOIA Requester Service Center,,,,,,(202) 789-6800,,,,,
Postal Regulatory Commission,Postal Regulatory Commission,Jennie L. Jbara,FOIA Public Liaison,Suite 200 West,"901 New York Avenue, NW",Washington,DC,20268,(202)-789-6865,,jennie.jbara@prc.gov,,,
Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,,FOIA Contact,Suite 500,"2100 K Street, NW",Washington,DC,20427,(202) 331-1986,(202) 296-4395,mailto:foia@pclob.gov,https://www.pclob.gov/contacts.html,,
Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,,FOIA Requester Service Center,,,,,,(202) 331-1986,(202) 296-4395,mailto:foia@pclob.gov,,,
Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,,FOIA Public Liaison,,,,,,(202) 331-1986,(202) 296-4395,mailto:foia@pclob.gov,,,
Main Office,Railroad Retirement Board,Eric Wooden,FOIA Officer,,844 North Rush Street,Chicago,IL,60611-2092,(312) 751-4936,(312) 751-7102,,http://www.rrb.gov/blaw/foia/foia.asp,https://secure.rrb.gov/efoia/,
Main Office,Railroad Retirement Board,,FOIA Requester Service Center,,,,,,(312) 751-4948,,,,,
Main Office,Railroad Retirement Board,Marguerite P. Dadabo,FOIA Public Liaison,,,,,,(312) 751-4936,,,,,
Office of the Inspector General,Railroad Retirement Board,,Freedom of Information Officer,Room 450,844 North Rush Street,Chicago,IL,60611-2092,(312) 751-4350,,,http://www.rrb.gov/blaw/foia/foia.asp,https://secure.rrb.gov/efoia/,
Office of the Inspector General,Railroad Retirement Board,,FOIA Requester Service Center,,,,,,(312) 751-4350,,,,,
Office of the Inspector General,Railroad Retirement Board,,FOIA Public Liaison,,,,,,(312) 751-4350,,,,,
Securities and Exchange Commission,Securities and Exchange Commission,John Livornese,"FOIA Officer, Office of FOIA Services",Mail Stop 2465,"100 F Street, NE",Washington,DC,20549-2736,(202) 551-7900,(202) 772-9337,mailto:foiapa@sec.gov,http://www.sec.gov/foia.shtml,https://tts.sec.gov/cgi-bin/request_public_docs,
Securities and Exchange Commission,Securities and Exchange Commission,,FOIA Requester Service Center,,,,,,(202) 551-7900,,,,,
Securities and Exchange Commission,Securities and Exchange Commission,"John Livornese, Lizzette Katilius, David Henshall, Jeffrey Ovall and Ray McInerney",FOIA Public Liaison,,,,,,(202) 551-7900,,,,,
Selective Service System,Selective Service System,Betty Lou Wingo,FOIA Officer,National Headquarters,,Arlington ,VA,22209-2425,(703) 605-4100,(703) 605-4106,Information@sss.gov,www.sss.gov,,
Selective Service System,Selective Service System,Richard Flahavan,FOIA Requester Service Center,National Headquarters,,Arlington ,VA,22209-2425,(703) 605-4100,(703)605-4106,Information@sss.gov,www.sss.gov,,
Selective Service System,Selective Service System,Richard Flahavan,FOIA Public Liaison,National Headquarters,,Arlington ,VA,22209-2425,(703) 605-4100,(703)605-4106,Information@sss.gov,www.sss.gov,,
Small Business Administration,Small Business Administration,Laura L. Magere,"Chief, Office of FOI/PA",,"409 3rd Street, SW",Washington,DC,20416,(202) 401-8203,(202) 205-7059,mailto:foia@sba.gov,www.sba.gov/foia,https://foiaonline.regulations.gov/foia/action/public/home,This agency has additional FOIA contact information that can be found by visiting its website.
Small Business Administration,Small Business Administration,,FOIA Requester Service Center,,,,,,(202) 401-8203,,,,,
Small Business Administration,Small Business Administration,Laura L. Magere,FOIA Public Liaison,,,,,,(202) 401-8203,,,,,
Social Security Administration,Social Security Administration,Mary Ann Zimmerman,Acting Principal Public FOIA Liaison,"Office of the General Counsel, Office of Privacy and Disclosure",617 Altmeyer Building,Baltimore,MD,21235,(410) 965-1727,(410) 966-0869,,http://www.ssa.gov/foia/,https://secure.ssa.gov/apps9/eFOIA-FEWeb/internet/main.jsp?action=OPD,
Social Security Administration,Social Security Administration,"Keisha Mahoney, Pamela J. Carcirieri","FOIA Requester Service Center, Office of Privacy & Disclosure",,,,,,(410) 965-1727,,,,,
Social Security Administration,Social Security Administration,Chip Mitchell,"FOIA Requester Service Center, Office of Central Operations, Division of Earnings Records Operations",,,,,,(410) 965-1727,,,,,
Social Security Administration,Social Security Administration,Debbie Verzi,Acting FOIA Public Liaison,,,,,,(410) 965-1727,,mailto:Foia.pa.officers@ssa.gov,,,
Special Inspector General for Afghanistan Reconstruction,Special Inspector General for Afghanistan Reconstruction,FOIA Contact,"Office of Privacy, Records and Disclosure",,2530 Crystal Drive,Arlington,VA,22202,(703) 545-6046,,mailto:sigar.pentagon.gen-coun.mbx.foia@mail.mil,,http://www.sigar.mil/contact/foia/privacy-request.aspx,
Special Inspector General for Afghanistan Reconstruction,Special Inspector General for Afghanistan Reconstruction,,FOIA Requester Service Center,,,,,,(703) 545-6046,,,,,
Special Inspector General for Afghanistan Reconstruction,Special Inspector General for Afghanistan Reconstruction,,FOIA Public Liaison,,,,,,(703) 545-6046,,,,,
Surface Transportation Board,Surface Transportation Board,Marilyn R. Levitt,FOIA/Privacy Act Officer,1266,"395 E Street, SW",Washington,DC,20423-0001,(202) 245-0269,(202) 245-0460,mailto:FOIA.Privacy@stb.dot.gov,http://www.stb.dot.gov/stb/foia.html,,
Surface Transportation Board,Surface Transportation Board,Marilyn R. Levitt,FOIA Requester Service Center,,,,,,,,,,,
Surface Transportation Board,Surface Transportation Board,Craig Keats,FOIA Public Liaison,1272,,,,,(202) 245-0264,,mailto:keatsc@stb.dot.gov,,,
Tennessee Valley Authority,Tennessee Valley Authority,Denise Smith,TVA FOIA Officer,WT 7D,400 West Summit Hill Drive,Knoxville,TN,37902-1499,(865) 632-6945,(865) 632-6901,,http://www.tva.gov/foia/,,
Tennessee Valley Authority,Tennessee Valley Authority,,FOIA Requester Service Center,,,,,,(865) 632-6945,,mailto:foia@tva.gov,,,
Tennessee Valley Authority,Tennessee Valley Authority,"Wilson Taylor, III",FOIA Public Liaison,,,,,,(865) 632-8133,(865) 632-9393,,,,
U.S. Access Board,U.S. Access Board,Lisa Fairhall,FOIA Officer/Deputy General Counsel,Suite 1000,"1331 F Street, NW",Washington ,DC,20004,202-272-0046,202-272-0081,FOIA@access-board.gov,www.access-board.gov,n/a,
U.S. Access Board,U.S. Access Board,,FOIA Requester Service Center,,,,,,202-272-0046,,,,,
U.S. Access Board,U.S. Access Board,Lisa Fairhall,FOIA Public Liaison,,,,,,202-272-0046,,,,,
United States African Development Foundation,United States African Development Foundation,June B. Brown,"FOIA Contact, Associate General Counsel",,"1400 Eye Street, NW",Washington,DC,20005-2248,(202) 673-3916,(202) 673-3810,,http://www.usadf.gov/OpenGovernment.html,,
United States African Development Foundation,United States African Development Foundation,,FOIA Requester Service Center,,,,,,(202) 673-3916,,,,,
United States African Development Foundation,United States African Development Foundation,,FOIA Public Liaison,,,,,,(202) 673-3916,,,,,
United States Copyright Office,United States Copyright Office,"William J. Roberts, Jr.",Associate Register of Copyrights and Director of Public Information & Education,,P.O. Box 70400,Washington,DC,20024,(202) 707-6800,(202) 707-6859,copfoia@loc.gov,http://www.copyright.gov/foia/,,
United States Copyright Office,United States Copyright Office,Alicia Mroczyk,FOIA Requester Service Center,,P.O. Box 70400,Washington,DC,20024,(202) 707-6800,(202) 707-6859,copfoia@loc.gov,http://www.copyright.gov/foia/,,
United States Copyright Office,United States Copyright Office,George Thuronyi,Public Liaison,,P.O. Box 70400,Washington,DC,20024,(202) 707-6800,(202) 707-6859,copfoia@loc.gov,http://www.copyright.gov/foia/,,
United States International Boundary and Water Commission,United States International Boundary and Water Commission,Rebecca Rizzuti,FOIA Officer & Public Liaison,"FOIA - Legal Office, Suite C100",4171 N. Mesa,El Paso,TX,79902,(915) 832-4729,915-600-7397,mailto:rebecca.rizzuti@ibwc.gov,http://www.ibwc.gov/Organization/FOIA.html,"http://www.ibwc.gov/Organization/FOIA.html#How",
United States International Boundary and Water Commission,United States International Boundary and Water Commission,Rebecca Rizzuti,FOIA Requester Service Center,"FOIA - Legal Office, Suite C101",4171 N. Mesa,El Paso,TX,79902,(915) 832-4729,915-600-7397,mailto:rebecca.rizzuti@ibwc.gov,http://www.ibwc.gov/Organization/FOIA.html,"http://www.ibwc.gov/Organization/FOIA.html#How",
United States International Boundary and Water Commission,United States International Boundary and Water Commission,Rebecca Rizzuti,FOIA Public Liaison,"FOIA - Legal Office, Suite C102",4171 N. Mesa,El Paso,TX,79902,(915) 832-4729,915-600-7397,mailto:rebecca.rizzuti@ibwc.gov,http://www.ibwc.gov/Organization/FOIA.html,"http://www.ibwc.gov/Organization/FOIA.html#How",
United States International Trade Commission,United States International Trade Commission,Lisa R. Barton,Chief FOIA Officer,112-AA,"500 E Street, SW",Washington,DC,20436,(202) 205-2595,(202) 205-2104,lisa.barton@usitc.gov,http://www.usitc.gov/secretary/foia/index.htm,http://pubapps.usitc.gov/applications/foia/request.asp,
United States International Trade Commission,United States International Trade Commission,,FOIA Requester Service Center,,,,,,(202) 205-2595,,,,,
United States International Trade Commission,United States International Trade Commission,Jacqueline N. Gross,FOIA Public Liaison,112-AA,"500 E Street, SW",Washington,DC,20436,(202) 205-1816,(202) 205-2104,jackie.gross@usitc.gov,,,
USPS Headquarters Office,United States Postal Service,FOIA Contact,Deputy Chief FOIA Officer,Room IP830,"475 L'Enfant Plaza, SW",Washington,DC,20260-1101,(202) 268-2608,(202) 268-5353,,http://www.usps.com/foia/welcome.htm,https://pfoiapal.usps.com/palMain.aspx,
USPS Headquarters Office,United States Postal Service,,FOIA Requester Service Center-HQ,,,,,,(202) 268-2608,,,,,
USPS Headquarters Office,United States Postal Service,Jane Eyre,FOIA Public Liaison,,,,,,(202) 268-2608,,,,,
USPS Field Office,United States Postal Service,FOIA Contact,St. Louis General Law Service Center,Room 2400,1720 Market Street,St. Louis,MO,63155-9948,(314) 345-5894,(650) 578-4956,,http://www.usps.com/foia/welcome.htm,https://pfoiapal.usps.com/palMain.aspx,
USPS Field Office,United States Postal Service,,FOIA Requester Service Center-Field,,,,,,(314) 345-5894,,,,,
USPS Field Office,United States Postal Service,Linda Crump,FOIA Public Liaison,,,,,,(314) 345-5894,,,,,
Postal Inspection Service,United States Postal Service,FOIA Contact,Office of Counsel,Room 3301,"475 L'Enfant Plaza, SW",Washington,DC,20260-2101,(202) 268-7004,(202) 268-4538,,http://www.usps.com/foia/welcome.htm,https://pfoiapal.usps.com/palMain.aspx,
Postal Inspection Service,United States Postal Service,,FOIA Requester Service Center,,,,,,(202) 268-7004,,,,,
Postal Inspection Service,United States Postal Service,Tammy Warner,Acting FOIA Public Liaison,,,,,,(202) 268-7004,,,,,
Office of the Inspector General,United States Postal Service,FOIA Contact,FOIA Contact,Suite 10000,1735 North Lynn Street,Arlington ,VA,22209-2020,(703) 248-2100,(703) 248-4626,mailto:FOIA@uspsoig.gov,http://www.uspsoig.gov/foia.htm,https://pfoiapal.usps.com/palMain.aspx,
Office of the Inspector General,United States Postal Service,,FOIA Requester Service Center,,,,,,(703) 248-2100,,,,,
Office of the Inspector General,United States Postal Service,Paul Maloney,FOIA Public Liaison,,,,,,(703) 248-2100,,,,,
United States Trade and Development Agency,United States Trade and Development Agency,William Langer,FOIA Contact,Suite 1600,1000 Wilson Boulevard,Arlington,VA,22209-3901,(703) 875-4357,(703) 875-4009,wlanger@ustda.gov,http://www.ustda.gov/pubs/foia/,,
United States Trade and Development Agency,United States Trade and Development Agency,,FOIA Requester Service Center,,,,,,(703) 875-5578,,,,,
United States Trade and Development Agency,United States Trade and Development Agency,William Langer,FOIA Public Liaison,,,,,,(703) 875-4357,,,,,
